"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1. Floresta","110556939.63102783","111041862.48789498","110836688.92410097","109932819.42092648","109237614.66235754","108454155.13739829","107489476.8571376","106465293.35079081","105432973.81095794","104505669.81430598","103547727.64598411","102770750.92044893","101969370.10020198","101319990.03074284","100647153.94453709","99873898.1983023","99054306.45750704","98148261.74992654","97308219.34034671","96122669.69062169","95349897.63207462","94866621.53406608","94431168.76897623","93976586.88504997","93637153.73918092","93272371.93190992","92904354.43438816","92379914.15739578","91852422.5830064","91346789.07520664","90904749.57303679","90472856.79492381","89880343.70900357","89602968.35540299","89358710.52744281","88368383.36075951"
"1.1. Formação Florestal","35622603.915028036","35297617.30448584","34765818.5514343","33949044.73380716","33377478.485807735","33039313.604191598","32559240.636449058","32138689.529942792","31852150.435990613","31524865.488446247","31113193.656714953","30916528.534643836","30655430.76327528","30475899.463397365","30305211.70928238","30093137.107496917","29973795.830640703","29803725.20138312","29495023.171589565","29242315.43425704","28998653.387520585","28840448.218466405","28736276.632441644","28499823.568243526","28396177.31098759","28338114.91591006","28160553.85251178","28089076.045084767","28107475.844466895","28071222.782502294","28065981.101842813","28046205.412742794","28023910.521110076","28078689.68434301","28204547.015872512","28280266.567278422"
"1.2. Formação Savânica","74873024.036515","75682183.08216234","76008915.89073418","75921574.99999371","75798139.30215408","75352725.18307523","74868101.04729505","74265123.43262449","73519349.97426511","72918778.88490368","72372098.08536449","71791398.40964772","71250923.21635969","70779793.65062462","70276961.53509736","69715346.34649822","69015306.92090717","68279553.70103723","67748019.6209456","66814620.359157085","66285195.22378361","65959838.92888468","65628173.59846843","65410010.881247476","65174444.776408285","64868012.71908375","64677618.40845427","64224710.79813641","63678512.692866966","63208676.76535229","62771880.687731855","62359781.44946314","61789710.08907192","61457609.69048412","61087433.355702855","60021182.65389881"
"1.3. Mangue","61311.67948480248","62062.10124681462","61954.48193248994","62199.68712560535","61996.87439572228","62116.350131458435","62135.17339350088","61480.38822353008","61473.400702204446","62025.44095603754","62435.90390466377","62823.976157361496","63016.120567005375","64296.916720850364","64980.70015734961","65414.74430715492","65203.70595916908","64982.84750619681","65176.547811531236","65733.8972075583","66049.02077043014","66334.3867149921","66718.53806615819","66752.43555897448","66531.65178505462","66244.29691610964","66182.17342211588","66127.31417459299","66434.04567252974","66889.52735206505","66887.78346212964","66869.93271788533","66723.09882155959","66668.98057586276","66730.15586744585","66934.13958227723"
"1.4. Restinga Arborizada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Formação Natural não Florestal","24009752.652608912","23872283.260443244","23546807.773795627","23276110.109689783","22999141.203473028","22819447.335349724","22623763.877776228","22487066.69001501","22341705.46468786","22235037.60099176","22132153.21791733","21999870.51921364","21919756.141421515","21838499.20031162","21739888.80342744","21667798.567119766","21544359.59805477","21423332.44120047","21294827.72853927","21086194.506469004","20938411.893500276","20791506.561506253","20726608.553102266","20660748.954992533","20594463.747326337","20486362.95302403","20413081.895380296","20288566.55303844","20148550.122113667","20009157.748363893","19910271.750815947","19805615.57730628","19746387.730746493","19692557.788804237","19646070.163083367","19536209.38763965"
"2.1. Campo Alagado e Área Pantanosa","5635812.401490291","5579647.8518116325","5544998.492524951","5501577.32483716","5473783.25381886","5456522.453254236","5441466.298286395","5421819.890883729","5404310.706413189","5385482.199938979","5360366.329666938","5332668.72278671","5312169.206445682","5309387.068640622","5304931.977128449","5299476.5920987","5292985.813646232","5274099.902354679","5245880.95059119","5234967.381848599","5222966.022444623","5216300.964118881","5209677.536145909","5199031.790557366","5190927.704931367","5185170.458722959","5179577.254323464","5173262.970127647","5159277.5305787595","5136208.732529289","5111244.978857502","5089018.7942486275","5072733.497217138","5062174.480685698","5059616.284689908","5054070.747582832"
"2.2. Formação Campestre","18366473.71907841","18284999.591490567","17994140.405749273","17766588.58895654","17517529.963993095","17355047.293752473","17173055.403473794","17053645.63092989","16925764.692633722","16840880.055137984","16763681.881528368","16658466.49849884","16597441.16685554","16517275.823561452","16423071.491276633","16359329.625896089","16243614.719236063","16142500.951905891","16042435.055400131","15844592.024032297","15708517.761248976","15565413.504642265","15506231.294390537","15451135.453244742","15394134.634542366","15294241.046141477","15226631.32423174","15108394.69364639","14982247.622488009","14866048.11332514","14792393.36403375","14709920.816606604","14666897.102874063","14623725.240036543","14580104.473598476","14477455.809699237"
"2.3. Apicum","7449.850368103057","7614.342918981962","7641.043667620897","7920.561358740247","7798.745703363087","7849.990144085733","9216.122335235646","11570.435444378732","11605.992062664809","8652.226207281485","8076.486544573967","8712.045868890336","10121.905448779253","11805.263912493927","11851.23368786621","8965.499094781499","7738.858773443631","6703.363900811748","6481.705315173319","6612.003947479232","6904.044860302723","9770.167536431933","10675.998338983214","10561.456601080352","9376.68330846561","6930.765594531241","6853.218400585911","6889.454437762462","7004.576860376","6871.628426318398","6605.683730731246","6649.170919073531","6734.808798553493","6635.136785052492","6328.894313952653","4660.533918890391"
"2.4. Afloramento Rochoso","16.681672106933593","21.474222064208984","27.831853784179682","23.63453734741211","29.23995770874022","27.598198931884752","26.053680798339844","30.73275701293946","24.0735782836914","23.11970751342774","28.520177447509777","23.252059197998044","23.862671514892575","31.044197052001966","34.1013344909668","26.85003020019532","20.206399029541018","28.223039086914063","30.017232775878895","23.09664063110351","24.064946374511713","21.9252086730957","23.724226837158206","20.25458934326172","24.724544134521476","20.682565063476563","20.098424505615235","19.434826641845696","20.3921865234375","29.274083148193352","27.724193963623044","26.795531976318355","22.321856738281255","22.931296942138673","20.510481030273432","22.296438690185543"
"2.5. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Agropecuário","61476499.5009126","61128542.30203581","61776903.81255453","62959396.639983855","63900366.61725566","64847786.49618884","65970409.887159444","67119185.23132223","68302675.25888613","69310426.62011771","70336430.23441125","71254062.48839459","72025202.38330887","72728431.6763167","73508442.52279647","74426727.77723868","75382606.34147486","76271562.98164147","77158569.14510597","78475031.14384057","79397182.16908357","80055183.0600616","80570203.64836743","81082757.04011144","81471121.18527763","81925305.35412374","82342521.21227075","82967119.70928901","83630797.25619346","84272093.92030305","84853111.93424869","85384449.9724457","86054632.83502762","86373834.7344279","86617632.94970071","87655670.04453678"
