date;class;focuses;uf
2022/01;Desmatamento Consolidado;35;BAHIA
2022/01;Desmatamento Consolidado;57;GOIÁS
2022/01;Desmatamento Consolidado;67;MARANHÃO
2022/01;Desmatamento Consolidado;168;MATO GROSSO
2022/01;Desmatamento Consolidado;51;MATO GROSSO DO SUL
2022/01;Desmatamento Consolidado;43;MINAS GERAIS
2022/01;Desmatamento Consolidado;22;PIAUÍ
2022/01;Desmatamento Consolidado;41;SÃO PAULO
2022/01;Desmatamento Consolidado;36;TOCANTINS
2022/01;Desmatamento Recente;37;BAHIA
2022/01;Desmatamento Recente;7;GOIÁS
2022/01;Desmatamento Recente;66;MARANHÃO
2022/01;Desmatamento Recente;29;MATO GROSSO
2022/01;Desmatamento Recente;6;MATO GROSSO DO SUL
2022/01;Desmatamento Recente;4;MINAS GERAIS
2022/01;Desmatamento Recente;22;PIAUÍ
2022/01;Desmatamento Recente;1;RONDÔNIA
2022/01;Desmatamento Recente;1;SÃO PAULO
2022/01;Desmatamento Recente;13;TOCANTINS
2022/01;Floresta;2;BAHIA
2022/01;Floresta;6;MARANHÃO
2022/01;Floresta;7;MATO GROSSO
2022/01;Floresta;15;MATO GROSSO DO SUL
2022/01;Floresta;7;MINAS GERAIS
2022/01;Floresta;1;PARANÁ
2022/01;Floresta;11;PIAUÍ
2022/01;Floresta;8;TOCANTINS
2022/02;Desmatamento Consolidado;44;BAHIA
2022/02;Desmatamento Consolidado;86;GOIÁS
2022/02;Desmatamento Consolidado;37;MARANHÃO
2022/02;Desmatamento Consolidado;133;MATO GROSSO
2022/02;Desmatamento Consolidado;94;MATO GROSSO DO SUL
2022/02;Desmatamento Consolidado;38;MINAS GERAIS
2022/02;Desmatamento Consolidado;12;PIAUÍ
2022/02;Desmatamento Consolidado;55;SÃO PAULO
2022/02;Desmatamento Consolidado;45;TOCANTINS
2022/02;Desmatamento Recente;29;BAHIA
2022/02;Desmatamento Recente;4;GOIÁS
2022/02;Desmatamento Recente;40;MARANHÃO
2022/02;Desmatamento Recente;7;MATO GROSSO
2022/02;Desmatamento Recente;14;MATO GROSSO DO SUL
2022/02;Desmatamento Recente;14;PIAUÍ
2022/02;Desmatamento Recente;1;RONDÔNIA
2022/02;Desmatamento Recente;7;TOCANTINS
2022/02;Floresta;11;BAHIA
